he absorbed the knowledge or beliefs of his tribe.	he absorbed the beverages of his tribe .
he absorbed the costs for the accident.	he absorbed the sunlight after the accident .
the sales tax is absorbed into the state income tax.	the dirty water is absorbed into the clean water .
the immigrants were quickly absorbed into society.	the chemicals were quickly absorbed into sponges .
her interest in butterflies absorbs her completely.	her butterflies absorb her food completely .
you must adhere to the rules.	you must adhere the rules to the wall .
the residents of this village adhered to catholicism.	the wax of this village adhered to fingers .
this problem admits of no solution	this park admits no dogs
she aired her opinions on welfare	she aired her laundry on the roof
this idea will never amount to anything	this budget will never amount to more than a thousand euros
the steering of my new car answers to the slightest touch	the person in my new car answers any question
i attacked the problem as soon as i got out of bed	i attacked the mailman as soon as i got out of bed
which horse are you backing?	which car are you backing up ?
she was besieged by so many problems that she got discouraged	she was besieged by so many soldiers that she gave up
she tended to blast when speaking into a microphone	she tended to blast holes in the wall when shooting
meteors blazed across the atmosphere.	meteors blazed through the dry forest .
the distinction between the two theories blurred	the ink between the two pages blurred
don't bolt your food!	don't bolt from the kitchen carrying food !
the government bowed to the military pressure	the government leaders bowed to the military generals
he breathed new life into the old house	he breathed onto the plants in the old house
our new synthetic fabric breathes and is perfect for summer wear	our new synthetic animal breathes and is perfect for a household pet
this rare bordeaux must be allowed to breathe for at least 2 hours	this rare dog from bordeaux must be allowed to breathe
this office is buzzing with activity	this bee is buzzing with activity
he buzzed the servant	he buzzed when the servant came near
she captured all the men's hearts	she captured all the men's hearts and stored them in glass jars
the judge clapped him in jail	the judge clapped when he sang in jail
they clawed their way to the top of the mountain.	the cats clawed their way to the top of the curtain
she clawed the doorknob.	she clawed the door .
the politician clawed his rival.	the politician clawed out his rival's eyes .
sales were climbing after prices were lowered	salespeople were climbing after ladders were lowered
the path climbed all the way to the top of the hill	the puffin climbed all the way to the top of the hill
this young man knows how to climb the social ladder	this young man knows how to climb the tall ladder
prices climbed steeply	vines climbed up the steep wall
the market is being clogged by these operations	the drain is being clogged by these operations
fear clogged her mind	hair clogged her pipe
my personal feelings color my judgment in this case	my personal crayons color my drawings in this case
his political ideas color his lectures	his paints color his posters
the rooms communicated	the people in the room communicated
his devotion to his sick wife condemned him to a lonely existence	his murdering his sick wife condemned him to a lonely existence in prison
the fire consumed the building	the firefighter consumed the sandwich
the comedian convulsed the crowd	the comedian violently convulsed on the floor
you can count on me to help you any time	you can count my things any time
the old cheese was crawling with maggots	the old cat was crawling toward the door
the speech crowned the meeting	the queen crowned the prince
a weather vane crowns the building	the king crowned the prince
she was crushed by his refusal of her invitation	she was crushed by a boulder
seurat culminated pointillism.	the mountain culminated at its peak
dashed by the refusal	they dashed by the store
it dawned on him that she had betrayed him	the sun dawned on him
the age of computers had dawned	the sun had dawned
the bad review of his work deflated his self-confidence	the needle deflated his balloon
the new measures deflated the economy	the new measures deflated the balloons
the glut of oil depressed gas prices	the glut of oil depressed her
the lack of rain had depressed the water level in the reservoir	the lack of rain had depressed the farmers
she designed a good excuse for not attending classes that day.	she designed a good shed for the class that day .
fire had devoured our home	ferrets had devoured our hominy
she devoured his novels	she devoured his nougat
i cannot digest all this information	i cannot digest all this food
the government digested the entire law into a code	the government workers digested the entire cake
he downed three martinis before dinner.	he downed three trees before dinner.
some people can down a pound of meat in the course of one meal.	some people can down a ton of missiles in the course of one mission.
stock prices are drifting higher	leaves are drifting higher on the wind
my son drifted around for years in california before going to law school	my son drifted holes as an engineer for years in california before going to law school
the stock market drifted upward	the leaves drifted upward on the wind
the mother drinks in every word of her son on the stage	the mother drinks in every drop of her juice on the stage
i was drowned in work	i almost drowned in the lake
she drowned her trouble in alcohol	she drowned her baby in the tub
middle age dulled her appetite for travel	time dulled her blades
the company dumped him after many years of service	the company dumped their fax machine after many years of service
some nice results emerged from the study	some nice roses emerged from the soil
the event engraved itself into her memory	memory of the event was engraved into a plaque
the turks erased the armenians in 1915	the turks erased the chalkboard in 1915
the boss exploded when he heard of the resignation of the secretary	the bomb exploded right when he heard of the resignation of the secretary
the middle east is fermenting	the alcohol is fermenting
fill the child with pride	fill the chalice with prune juice
every star seemed to flare with new intensity.	every disease seemed to flare up with new intensity
the night sky flared with the massive bombardment.	the bomb flared during the massive bombardment.
the latest intelligence is flashed to all command posts	the light is flashed to all command posts
the father flicked him with his hand.	the father flicked his hair with his hand.
the republicans are floating the idea of a tax reform	the republicans are floating the boat on the water
the dancer floated across the stage	the balloon floated across the stage
the government floated the ruble for a few months	the government floated the ship for a few months
the crowd flowed out of the stadium	the water flowed out of the stadium
the sky flushed with rosy splendor	the face flushed with rosy splendor
form the young child's character	form the young child's clay
the press was gagged	the victim was gagged
the moon glared back at itself from the lake's surface	the man glared back at the moon from the lake
the sun glared down on us	the man glared down at us
her face glowed when she came out of the sauna	her face glowed when she saw him in the sauna
this story will grab you	this crab will grab you
the conversation gravitated towards politics	the planets gravitated towards the black hole
his mind groped to make the connection	his hand groped to find the switch
the heavy rain guttered the soil.	the heavy bowler guttered.
harmonize one's goals with one's abilities	harmonize one's choir with one's pianist
these rivers head from a mountain range in the himalayas	these ranchers head toward a mountain range in the himalayas
the wheat headed early this year	the wheat headed the list this year
he heaped him with work	he heaped praise on him
the oscillator hunts about the correct frequency	the ombudsman hunts for the correct rabbits
the ostentatious way of living of the rich ignites the hatred of the poor	the ostentatious way the rich burn the woods ignites the houses of the poor
their language inclines us to believe them	their lasagna inclines us on the couch
his laughter infects everyone who is in the same room	his virus infects everyone who is in the same room
the charges were inflated	the mattresses were inflated
